date,income,expense,balance,description
2023-01-01,0.0,92.89,5252.45,Bill Payment
2023-01-02,4090.97,0.0,9343.42,Salary
2023-01-02,0.0,147.97,9195.45,ATM Withdrawal
2023-01-03,0.0,42.09,9153.36,ATM Withdrawal
2023-01-04,0.0,137.24,9016.12,Bill Payment
2023-01-06,0.0,142.59,8873.53,Wire Transfer
2023-01-10,0.0,49.84,8823.69,ATM Withdrawal
2023-01-15,0.0,139.84,8683.85,ATM Withdrawal
2023-01-16,0.0,100.96,8582.89,ATM Withdrawal
2023-01-18,0.0,130.68,8452.21,ATM Withdrawal
2023-01-19,0.0,37.98,8414.23,Bill Payment
2023-01-20,3.01,0.0,8417.24,Interest Payment
2023-01-25,0.0,50.08,8367.16,Wire Transfer
2023-01-28,0.0,1418.15,13391.14,Credit Card Payment
2023-01-31,0.0,44.46,8322.7,ATM Withdrawal
2023-02-02,4055.38,0.0,12378.08,Salary
2023-02-04,0.0,120.99,12257.09,ATM Withdrawal
2023-02-05,0.0,101.55,12155.54,Bill Payment
2023-02-12,0.0,121.54,12034.0,ATM Withdrawal
2023-02-16,0.0,49.94,11984.06,Bill Payment
2023-02-17,0.0,142.67,11841.39,ATM Withdrawal
2023-02-20,8.47,0.0,11849.86,Interest Payment
2023-02-20,0.0,30.82,11819.04,Loan Payment
2023-02-21,0.0,149.05,11669.99,Bill Payment
2023-02-24,0.0,56.8,11613.19,Wire Transfer
2023-02-25,0.0,121.67,11491.52,Wire Transfer
2023-02-28,0.0,1899.13,11492.01,Credit Card Payment
2023-03-01,0.0,92.36,11399.16,ATM Withdrawal
2023-03-02,4061.95,0.0,15461.11,Salary
2023-03-06,0.0,78.62,15382.49,Wire Transfer
2023-03-14,0.0,138.4,15244.09,ATM Withdrawal
2023-03-20,4.72,0.0,15248.81,Interest Payment
2023-03-23,0.0,114.6,15134.21,Loan Payment
2023-03-24,0.0,63.3,15070.91,ATM Withdrawal
2023-03-28,0.0,43.96,15026.95,Bill Payment
2023-03-28,0.0,2270.45,9221.56,Credit Card Payment
2023-03-29,0.0,98.72,14928.23,ATM Withdrawal
2023-03-30,0.0,118.94,14809.29,Wire Transfer
2023-04-28,0.0,609.16,8612.4,Credit Card Payment
2023-05-28,0.0,64.84,8547.56,Credit Card Payment
