date,income,expense,balance,description
2023-01-02,0.0,78.71,2749.57,Bill Payment
2023-01-04,9123.2,0.0,11872.77,Salary
2023-01-08,0.0,49.15,11823.62,ATM Withdrawal
2023-01-15,0.0,116.85,11706.77,Wire Transfer
2023-01-16,0.0,135.34,11571.43,Bill Payment
2023-01-18,0.0,129.88,11441.55,Wire Transfer
2023-01-19,0.0,36.96,11404.59,Wire Transfer
2023-01-20,0.0,136.28,11268.31,ATM Withdrawal
2023-01-21,0.0,78.98,11189.33,Bill Payment
2023-01-22,0.0,80.21,11109.12,ATM Withdrawal
2023-01-23,0.0,39.33,11069.79,ATM Withdrawal
2023-01-26,0.0,86.26,10983.53,Wire Transfer
2023-01-27,9.42,0.0,10992.95,Interest Payment
2023-01-28,0.0,2517.42,25055.85,Credit Card Payment
2023-02-03,0.0,32.29,10960.66,Loan Payment
2023-02-04,9643.7,0.0,20604.36,Salary
2023-02-04,0.0,131.45,20472.91,ATM Withdrawal
2023-02-07,0.0,86.64,20386.27,Bill Payment
2023-02-12,0.0,122.32,20263.95,ATM Withdrawal
2023-02-13,0.0,101.46,20162.49,Wire Transfer
2023-02-15,0.0,134.48,20028.01,ATM Withdrawal
2023-02-16,0.0,110.24,19917.77,ATM Withdrawal
2023-02-19,0.0,67.98,19849.79,Bill Payment
2023-02-23,0.0,101.77,19748.02,Bill Payment
2023-02-25,0.0,36.52,19711.5,Bill Payment
2023-02-27,6.66,0.0,19718.16,Interest Payment
2023-02-28,0.0,109.4,19608.76,Loan Payment
2023-02-28,0.0,3577.6,21478.25,Credit Card Payment
2023-03-02,0.0,82.02,19526.74,Loan Payment
2023-03-04,9251.91,0.0,28778.65,Salary
2023-03-04,0.0,143.79,28634.86,ATM Withdrawal
2023-03-07,0.0,35.84,28599.02,Loan Payment
2023-03-08,0.0,77.87,28521.15,Bill Payment
2023-03-13,0.0,64.23,28456.92,Bill Payment
2023-03-14,0.0,136.86,28320.06,ATM Withdrawal
2023-03-16,0.0,77.83,28242.23,ATM Withdrawal
2023-03-18,0.0,123.79,28118.44,Bill Payment
2023-03-19,0.0,136.07,27982.37,ATM Withdrawal
2023-03-21,0.0,67.73,27914.64,ATM Withdrawal
2023-03-22,0.0,123.68,27790.96,Bill Payment
2023-03-27,2.45,0.0,27793.41,Interest Payment
2023-03-27,0.0,144.76,27648.65,Wire Transfer
2023-03-28,0.0,22.19,27626.46,ATM Withdrawal
2023-03-28,0.0,2926.96,18551.29,Credit Card Payment
2023-03-31,0.0,53.19,27573.27,Bill Payment
2023-04-28,0.0,332.63,18218.66,Credit Card Payment
2023-05-28,0.0,44.75,18173.91,Credit Card Payment
